날짜,평균기온,최고기온,최저기온,평균운량,일강수량
2019-01-01,-5.0℃,-0.6℃,-8.2℃,3.4,0
2019-01-02,-4.9℃,0.2℃,-8.8℃,0.0,0
2019-01-03,-3.5℃,3.2℃,-8.4℃,0.1,0
2019-01-04,-1.1℃,4.1℃,-6.2℃,5.5,0
2019-01-05,-2.8℃,1.1℃,-5.5℃,0.5,0
2019-01-06,-2.8℃,2.7℃,-6.3℃,3.1,0
2019-01-07,-1.9℃,3.1℃,-6.2℃,4.0,0
2019-01-08,-3.5℃,0.5℃,-7.2℃,0.0,0
2019-01-09,-4.7℃,1.3℃,-9.4℃,4.9,0
2019-01-10,-0.6℃,3.0℃,-4.5℃,8.1,0
2019-01-11,2.4℃,7.2℃,-0.4℃,6.1,0
2019-01-12,2.8℃,8.0℃,-0.6℃,3.9,0
2019-01-13,1.2℃,7.6℃,-3.0℃,0.0,0
2019-01-14,1.4℃,5.3℃,-2.4℃,4.5,0
2019-01-15,-1.7℃,2.6℃,-7.2℃,3.8,0.0mm
2019-01-16,-5.2℃,-1.1℃,-10.1℃,4.1,0.0mm
2019-01-17,-0.3℃,4.0℃,-3.2℃,1.8,0.0mm
2019-01-18,0.6℃,6.7℃,-4.6℃,3.0,0
2019-01-19,3.6℃,8.5℃,0.0℃,7.8,0
2019-01-20,-1.4℃,4.0℃,-5.5℃,1.1,0
2019-01-21,-1.2℃,4.2℃,-6.7℃,4.1,0.0mm
2019-01-22,1.7℃,7.1℃,-3.3℃,1.1,0
2019-01-23,2.0℃,7.0℃,-0.8℃,0.9,0
2019-01-24,0.1℃,6.5℃,-4.6℃,2.1,0
2019-01-25,-1.2℃,2.6℃,-3.8℃,1.3,0
2019-01-26,-2.5℃,2.4℃,-6.5℃,0.0,0
2019-01-27,-0.1℃,5.1℃,-6.6℃,4.3,0
2019-01-28,1.2℃,4.5℃,-2.4℃,1.3,0.0mm
2019-01-29,-0.2℃,7.0℃,-5.6℃,2.1,0
2019-01-30,1.8℃,6.6℃,-2.8℃,6.9,0
2019-01-31,-2.0℃,2.3℃,-6.2℃,7.0,0
2019-02-01,-2.1℃,2.8℃,-7.4℃,3.0,0.3mm
2019-02-02,1.4℃,6.1℃,-3.2℃,7.5,0.0mm
2019-02-03,3.3℃,4.9℃,2.0℃,9.3,16.0mm
2019-02-04,-0.6℃,3.0℃,-3.3℃,2.4,0
2019-02-05,2.8℃,10.1℃,-3.6℃,3.9,0
2019-02-06,5.1℃,9.3℃,0.1℃,8.1,0
2019-02-07,-2.1℃,6.3℃,-8.2℃,4.3,0.5mm
2019-02-08,-6.1℃,-1.3℃,-10.2℃,6.1,0
2019-02-09,-5.4℃,-1.9℃,-8.6℃,4.4,0
2019-02-10,-5.0℃,-1.9℃,-9.1℃,7.5,0
2019-02-11,-3.0℃,2.0℃,-7.5℃,0.4,0
2019-02-12,-0.6℃,3.7℃,-4.1℃,5.6,0.0mm
2019-02-13,-2.1℃,2.5℃,-5.7℃,1.8,0
2019-02-14,-0.5℃,6.3℃,-5.9℃,5.3,0
2019-02-15,-0.8℃,0.9℃,-2.9℃,9.1,2.2mm
2019-02-16,-2.7℃,1.5℃,-5.1℃,2.4,0.2mm
2019-02-17,-1.8℃,4.6℃,-6.8℃,0.1,0
2019-02-18,0.9℃,5.9℃,-4.7℃,7.4,0
2019-02-19,1.4℃,3.0℃,0.2℃,9.4,4.6mm
2019-02-20,1.7℃,4.5℃,-0.1℃,6.5,0.0mm
2019-02-21,2.4℃,9.0℃,-2.6℃,0.0,0
2019-02-22,4.0℃,10.8℃,-1.6℃,5.4,0
2019-02-23,6.8℃,14.5℃,0.5℃,2.9,0
2019-02-24,6.3℃,13.7℃,1.2℃,1.6,0
2019-02-25,4.7℃,10.2℃,1.3℃,4.8,0
2019-02-26,5.2℃,12.0℃,-1.5℃,3.6,0
2019-02-27,7.8℃,14.0℃,4.7℃,7.5,0
2019-02-28,6.6℃,12.8℃,2.0℃,3.3,0
2019-03-01,6.6℃,13.0℃,1.2℃,0.3,0
