일요일	월요일	화요일	수요일	목요일	금요일	토요일
		1일	2일	3일	4일	5일
		평균기온:-5.0℃ 최고기온:-0.6℃ 최저기온:-8.2℃ 평균운량:3.4 일강수량: -	평균기온:-4.9℃ 최고기온:0.2℃ 최저기온:-8.8℃ 평균운량:0.0 일강수량: -	평균기온:-3.5℃ 최고기온:3.2℃ 최저기온:-8.4℃ 평균운량:0.1 일강수량: -	평균기온:-1.1℃ 최고기온:4.1℃ 최저기온:-6.2℃ 평균운량:5.5 일강수량: -	평균기온:-2.8℃ 최고기온:1.1℃ 최저기온:-5.5℃ 평균운량:0.5 일강수량: -
6일	7일	8일	9일	10일	11일	12일
평균기온:-2.8℃ 최고기온:2.7℃ 최저기온:-6.3℃ 평균운량:3.1 일강수량: -	평균기온:-1.9℃ 최고기온:3.1℃ 최저기온:-6.2℃ 평균운량:4.0 일강수량: -	평균기온:-3.5℃ 최고기온:0.5℃ 최저기온:-7.2℃ 평균운량:0.0 일강수량: -	평균기온:-4.7℃ 최고기온:1.3℃ 최저기온:-9.4℃ 평균운량:4.9 일강수량: -	평균기온:-0.6℃ 최고기온:3.0℃ 최저기온:-4.5℃ 평균운량:8.1 일강수량: -	평균기온:2.4℃ 최고기온:7.2℃ 최저기온:-0.4℃ 평균운량:6.1 일강수량: -	평균기온:2.8℃ 최고기온:8.0℃ 최저기온:-0.6℃ 평균운량:3.9 일강수량: -
13일	14일	15일	16일	17일	18일	19일
평균기온:1.2℃ 최고기온:7.6℃ 최저기온:-3.0℃ 평균운량:0.0 일강수량: -	평균기온:1.4℃ 최고기온:5.3℃ 최저기온:-2.4℃ 평균운량:4.5 일강수량: -	평균기온:-1.7℃ 최고기온:2.6℃ 최저기온:-7.2℃ 평균운량:3.8 일강수량:0.0mm	평균기온:-5.2℃ 최고기온:-1.1℃ 최저기온:-10.1℃ 평균운량:4.1 일강수량:0.0mm	평균기온:-0.3℃ 최고기온:4.0℃ 최저기온:-3.2℃ 평균운량:1.8 일강수량:0.0mm	평균기온:0.6℃ 최고기온:6.7℃ 최저기온:-4.6℃ 평균운량:3.0 일강수량: -	평균기온:3.6℃ 최고기온:8.5℃ 최저기온:0.0℃ 평균운량:7.8 일강수량: -
20일	21일	22일	23일	24일	25일	26일
평균기온:-1.4℃ 최고기온:4.0℃ 최저기온:-5.5℃ 평균운량:1.1 일강수량: -	평균기온:-1.2℃ 최고기온:4.2℃ 최저기온:-6.7℃ 평균운량:4.1 일강수량:0.0mm	평균기온:1.7℃ 최고기온:7.1℃ 최저기온:-3.3℃ 평균운량:1.1 일강수량: -	평균기온:2.0℃ 최고기온:7.0℃ 최저기온:-0.8℃ 평균운량:0.9 일강수량: -	평균기온:0.1℃ 최고기온:6.5℃ 최저기온:-4.6℃ 평균운량:2.1 일강수량: -	평균기온:-1.2℃ 최고기온:2.6℃ 최저기온:-3.8℃ 평균운량:1.3 일강수량: -	평균기온:-2.5℃ 최고기온:2.4℃ 최저기온:-6.5℃ 평균운량:0.0 일강수량: -
27일	28일	29일	30일	31일		
평균기온:-0.1℃ 최고기온:5.1℃ 최저기온:-6.6℃ 평균운량:4.3 일강수량: -	평균기온:1.2℃ 최고기온:4.5℃ 최저기온:-2.4℃ 평균운량:1.3 일강수량:0.0mm	평균기온:-0.2℃ 최고기온:7.0℃ 최저기온:-5.6℃ 평균운량:2.1 일강수량: -	평균기온:1.8℃ 최고기온:6.6℃ 최저기온:-2.8℃ 평균운량:6.9 일강수량: -	평균기온:-2.0℃ 최고기온:2.3℃ 최저기온:-6.2℃ 평균운량:7.0 일강수량: -		
