,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,세종,경북,경남,제주
0,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
1,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
2,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
3,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
4,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
5,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
6,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
7,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
8,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
9,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
10,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
11,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
12,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
13,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
14,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
15,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
16,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
17,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
18,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
19,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
20,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
21,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
22,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
23,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
24,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
25,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
26,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
27,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
28,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
29,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
30,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
31,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
32,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
33,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
34,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
35,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
36,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
37,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
38,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
39,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
40,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
41,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
42,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
43,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
44,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
45,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
46,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
